product_name,brand
Age Rewind Concealer,Maybelline Concealer
Aqua Cake eyeliner,Cake eyeliner
Aveeno Hand Cream,Mosturising Hand cream
Aveeno Shower Cleansing oil,Cleanser oil
Blush,NARS
CeraVe BodyWash,Body wash for rough skin
Concealer,NYX
Conditioner,Head & Shoulders
Essence Lipstick,Matt Lipstick
Eye Cream,Kiehl's
Eyeshadow Palette,Urban Decay
Face Mask,Origins
Face cream,Nourish
Fit me Foundation,Maybelline Fit me Foundation
Foundation,Maybelline
Great Lash Mascara,Maybelline Mascara
Hair Color,Clairol
Hair Mask,Garnier Fructis
Hair Oil,L'Oréal Paris
Hair Serum,Moroccanoil
Hair Spray,TRESemmé
Hair Styling Gel,Got2b
Highlighter,Anastasia Beverly Hills
Kryolan Cake eyeliner,Cake eyeliner
Kryolan Concealer,Full coverage concealer
Kryolan Creme Pallete,Camouflage cream pallete
Kryolan Makeup base,Ultra makeup base
Kryolan Paint Stick,Base Stick
Lipstick,MAC
Loreal Paris Eyeliner,Blue Water Proof eyeliner
Marian Carley Perfumes,M perfumes
Mascara,L'Oréal
Maybelline Blush On,Fit me Blush on
Maybelline Brow Gel,Brown eyebrow gel
Maybelline Pink Lipstick,Matt Lipstick
Moisturizer,CeraVe
Nivea Face wash,Face wash gel
NYx Soft Matt Lipstick,Matt Lipstick
Perfume - Citrus,Jo Malone
Perfume - Floral,Chanel
Perfume - Fresh,Clean
Perfume - Fruity,Britney Spears
Perfume - Oriental,Yves Saint Laurent
Perfume - Woody,Tom Ford
prod1,organic toner
PUMP Conditioner,Hair conditioner
Revolution Shampoo,Bond Flex shampoo
Revolution White Eyeliner,White Eyeliner
Serum,The Ordinary
Shampoo,Pantene
StLondon Foundation,Matt Foundation
StLondon Illuminator,Buy one get one free
StLondon Lip Pencil,Dark cherry Lip pencil
StLondon Mascara,Extra volume mascara
Sunscreen,Neutrogena
Toner,Thayers
Versace Bright crystal Perfume,Versace Perfume
